manufacturer,item,category,csi_spec_section,description,width,depth,height,mounting_type,cost,labor_per,currency,unit_of_measure
Columbia,COLUMBIA-1TIER-TERRA-9x12x48,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 9""W x 12""D x 48""H",9,12,48,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-9x12x60,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 9""W x 12""D x 60""H",9,12,60,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-9x12x72,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 9""W x 12""D x 72""H",9,12,72,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-9x15x36,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 9""W x 15""D x 36""H",9,15,36,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-9x15x48,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 9""W x 15""D x 48""H",9,15,48,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-9x15x60,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 9""W x 15""D x 60""H",9,15,60,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-9x15x72,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 9""W x 15""D x 72""H",9,15,72,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-9x18x36,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 9""W x 18""D x 36""H",9,18,36,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-9x18x48,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 9""W x 18""D x 48""H",9,18,48,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-9x18x60,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 9""W x 18""D x 60""H",9,18,60,Floor,,,USD,EA
Columbia,COLUMBIA-1TIER-TERRA-9x18x72,Locker,10 51 00,"Columbia 1-tier locker, Terra Core color-through phenolic. 9""W x 18""D x 72""H",9,18,72,Floor,,,USD,EA
