manufacturer,item,category,csi_spec_section,description,width,depth,height,mounting_type,cost,labor_per,currency,unit_of_measure
Penco,PENCO-6111V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 12""D x 60""H. 1-tier. Cat.No 6111V",12,12,60,,,,USD,EA
Penco,PENCO-6113V,Locker,10 51 13,"Penco Vanguard. Locker. 30.5""W x 15""D x 60""H. 1-tier. Cat.No 6113V",30.5,15,60,,,,USD,EA
Penco,PENCO-6115V,Locker,10 51 13,"Penco Vanguard. Locker. 18""W x 30.5""D x 60""H. 1-tier. Cat.No 6115V",18,30.5,60,,,,USD,EA
Penco,PENCO-6117V,Locker,10 51 13,"Penco Vanguard. Locker. 30.5""W x 21""D x 60""H. 1-tier. Cat.No 6117V",30.5,21,60,,,,USD,EA
Penco,PENCO-6118V,Locker,10 51 13,"Penco Vanguard. Locker. 24""D x 60""H. 1-tier. Cat.No 6118V",,24,60,,,,USD,EA
Penco,PENCO-6119V,Locker,10 51 13,"Penco Vanguard. Locker. 12""D x 60""H. 1-tier. Cat.No 6119V",,12,60,,,,USD,EA
Penco,PENCO-6121V,Locker,10 51 13,"Penco Vanguard. Locker. 15""D x 60""H. 1-tier. Cat.No 6121V",,15,60,,,,USD,EA
Penco,PENCO-6123V,Locker,10 51 13,Penco Vanguard. Double Door. 1-tier. Cat.No 6123V,,,,,,,USD,EA
Penco,PENCO-6125V,Locker,10 51 13,"Penco Vanguard. Double Door. 21""D x 60""H. 1-tier. Cat.No 6125V",,21,60,,,,USD,EA
Penco,PENCO-6126V,Locker,10 51 13,"Penco Vanguard. Double Door. 18""W x 60""D x 60""H. 1-tier. Cat.No 6126V",18,60,60,,,,USD,EA
Penco,PENCO-6127V,Locker,10 51 13,"Penco Vanguard. Locker. 15""W x 15""D x 36.5""H. 1-tier. Cat.No 6127V",15,15,36.5,,,,USD,EA
Penco,PENCO-6129V,Locker,10 51 13,"Penco Vanguard. Locker. 18""W x 18""D x 36.5""H. 1-tier. Cat.No 6129V",18,18,36.5,,,,USD,EA
Penco,PENCO-6130V,Locker,10 51 13,"Penco Vanguard. Locker. 12""W x 21""D x 36.5""H. 1-tier. Cat.No 6130V",12,21,36.5,,,,USD,EA
Penco,PENCO-6131V,Locker,10 51 13,"Penco Vanguard. Double Door. 18""W x 18""D x 60""H. 1-tier. Cat.No 6131V",18,18,60,,,,USD,EA
Penco,PENCO-6132V,Locker,10 51 13,"Penco Vanguard. Locker. 15""W x 24""D x 36.5""H. 1-tier. Cat.No 6132V",15,24,36.5,,,,USD,EA
Penco,PENCO-6133V,Locker,10 51 13,"Penco Vanguard. Double Door. 21""D x 60""H. 1-tier. Cat.No 6133V",,21,60,,,,USD,EA
Penco,PENCO-6134V,Locker,10 51 13,"Penco Vanguard. Double Door. 24""W x 15""D x 60""H. 1-tier. Cat.No 6134V",24,15,60,,,,USD,EA
